n,k,brute_force,CalinescuKarloffRabani,electrical_alg,ratio_BruteCKR,ratio_BruteElectrical,ratioCKRElectrical
69,8,,20.137754802959495,41.660907510799206,,,2.068796045956256
24,6,,15.51987682843259,25.05039680441785,,,1.6140847689284004
39,3,,6.336312360314336,22.57164590740172,,,3.5622684968583163
49,2,,2.5877773228521566,6.255769085331007,,,2.4174294403492644
96,18,,42.47598724543298,74.26426145851931,,,1.7483822336937962
61,2,,2.165306514903719,12.069454678954408,,,5.574016701968442
27,5,,11.651019776585272,21.08062682939783,,,1.809337485784976
18,2,3.5742831871667144,3.5742831871667144,8.367392140098033,1.0,2.3409986567770393,2.3409986567770393
35,7,,18.004137306566193,33.31027686163881,,,1.8501456800982294
57,17,,30.503586922063,92.32247096458609,,,3.0266103196476863
94,2,,2.932082083068274,14.791599876881143,,,5.044742765660398
94,6,,14.101561358036845,31.93256825414437,,,2.2644703975241134
86,18,,37.503451987631465,155.85096229761788,,,4.155643121838947
22,4,,5.317326744090932,14.645207970640163,,,2.7542426251904057
11,2,1.7184670084887315,1.7184670084887315,10.22321584054885,1.0,5.949032358520188,5.949032358520188
86,16,,35.878440915097,74.80687980196808,,,2.08500921149254
14,2,2.256303445949303,2.256303445949303,6.120353230455959,1.0,2.7125576754508387,2.7125576754508387
48,7,,16.395653749861733,32.91391988244145,,,2.0074783466758084
57,14,,33.075797918682554,60.10065466994921,,,1.817058346338545
191,2,,2.1041667961916266,19.86591127949697,,,9.44122458136526
146,5,,10.202306546198406,28.426919378568464,,,2.786322803558665
116,7,,18.750057779423727,68.5048657023755,,,3.653581578695325
156,8,,17.22522548267108,54.95763687959681,,,3.190532218860374
18,4,,9.054670127277202,12.55560457856634,,,1.3866440634587638
254,4,,7.354288360841988,34.73928261165231,,,4.723676976908073
198,9,,20.382049249965554,54.0415782567633,,,2.651430069371196
13,4,6.441901706974009,6.441901706974009,12.051559668543526,1.0,1.8708077547188426,1.8708077547188426
18,5,,11.530295556445994,19.317763598941937,,,1.675391884307976
218,6,,13.532133745897207,56.06225793118722,,,4.142898598543979
56,6,,14.611606364863462,38.76637757116395,,,2.6531222237402643
87,7,,12.949926663285153,49.667492318340706,,,3.8353493119891535
168,8,,16.34560040928805,71.76721027911837,,,4.390613283213392
25,6,,17.555994842996252,33.474517796816606,,,1.906728618695787
79,7,,11.83836868211132,24.661104703665323,,,2.083150589906035
272,5,,9.590255881508991,30.010374283682033,,,3.129256888916296
135,5,,8.330285114791112,32.05878403407871,,,3.8484617984029965
16,2,,3.607766546460409,7.308367866965488,,,2.025731923850713
49,3,,3.589261306611554,15.419149819345467,,,4.295911749568864
160,7,,14.978187816206622,55.441303784344754,,,3.701469394338642
74,9,,24.457354267226567,53.07322245181001,,,2.1700312254514538
161,8,,19.60025653214851,39.52668088987119,,,2.0166409977869004
145,4,,7.667496884150008,28.718318010487053,,,3.745461973366118
135,9,,20.437852751675774,42.51954233188069,,,2.0804309948066515
95,9,,21.8087257963043,56.8723783702128,,,2.6077808901540855
195,8,,11.58055455776951,43.27517994976319,,,3.7368832152109195
183,3,,6.267369529291512,28.258862905812396,,,4.5088873049116165
217,6,,6.738431136897191,48.52687090292309,,,7.201508766218245
291,3,,3.391886280151697,13.868963901246165,,,4.088864648087759
270,2,,2.134544853291866,9.182149982649708,,,4.3016898747707835
115,7,,16.63973551837189,34.83445720738919,,,2.0934501734675144
231,8,,16.278068940156338,35.90062906165391,,,2.2054599469775384
148,5,,8.754526205397994,52.24071541185954,,,5.967280716990508
289,4,,7.7884831217111365,24.55123380823855,,,3.152248444860804
23,2,,3.389704586728377,4.820862584860177,,,1.4222072931473664
220,9,,23.086229350180915,42.513334685901704,,,1.8415018772031972
