n,k,brute_force,CalinescuKarloffRabani,electrical_alg,ratio_BruteCKR,ratio_BruteElectrical,ratioCKRElectrical,brute_time,ckr_time,elec_time
32,3,,7.074486006399258,12.504152598501744,,,1.767499799588416,,0.43224096298217773,0.021641016006469727
10,2,4.09663258394055,4.09663258394055,4.09663258394055,1.0,1.0,1.0,0.012084007263183594,0.07596707344055176,0.0071887969970703125
10,3,6.6186649253770975,6.6186649253770975,6.677065468932225,1.0,1.0088236138577147,1.0088236138577147,0.11981320381164551,0.041101932525634766,0.004569053649902344
10,4,4.356396659714996,4.356396659714996,5.2768762226763,1.0,1.211293790456061,1.211293790456061,0.26148295402526855,0.04202008247375488,0.0066928863525390625
10,5,,9.768729306908071,6.9066062184443275,,,0.7070117311532259,,0.042752981185913086,0.007194995880126953
11,2,3.472313658444185,3.472313658444185,3.472313658444185,1.0,1.0,1.0,0.02407693862915039,0.04532885551452637,0.004660844802856445
11,3,5.886650975261735,5.886650975261735,6.173336953797626,1.0,1.0487010321727361,1.0487010321727361,0.37042808532714844,0.04577994346618652,0.005505084991455078
11,4,10.328377715393929,10.328377715393929,10.328377715393929,1.0,1.0,1.0,1.0871899127960205,0.04674696922302246,0.005854129791259766
11,5,,9.074982260764134,10.846121650884964,,,1.1951672564450495,,0.048992156982421875,0.0067899227142333984
12,2,1.695593148562281,1.695593148562281,1.734812171970126,1.0,1.0231299728010221,1.0231299728010221,0.050343990325927734,0.050279855728149414,0.0058879852294921875
12,3,5.961523090316554,5.961523090316554,11.141332498322594,1.0,1.8688734958386273,1.8688734958386273,1.168820858001709,0.05244588851928711,0.007506132125854492
12,4,4.065125688196839,4.065125688196839,5.818075516385389,1.0,1.4312166369857318,1.4312166369857318,4.503968954086304,0.053457021713256836,0.024435043334960938
12,5,,8.268457365402256,12.170577225591558,,,1.4719284006369748,,0.0543208122253418,0.00734710693359375
12,6,,7.401209387002764,8.623544449054735,,,1.1651534226552906,,0.05550789833068848,0.007601022720336914
13,2,2.9177719239666677,2.9177719239666677,3.1002964498580043,1.0,1.0625561320924624,1.0625561320924624,0.10466289520263672,0.05830502510070801,0.004949092864990234
13,3,8.616038743370694,8.616038743370694,8.961574055679538,1.0,1.0401037324228264,1.0401037324228264,3.7767369747161865,0.05950307846069336,0.0053021907806396484
13,4,9.203330294390911,9.203330294390911,10.03408630954741,1.0,1.0902668912863873,1.0902668912863873,18.78425097465515,0.06260800361633301,0.0059719085693359375
13,5,,10.98232164862522,12.713539191613709,,,1.1576367546296737,,0.06202292442321777,0.007266044616699219
13,6,,12.450758165988782,15.287842998264889,,,1.2278644235518166,,0.06521821022033691,0.00791478157043457
14,2,2.738890650252781,2.738890650252781,2.738890650252781,1.0,1.0,1.0,0.22169899940490723,0.06404995918273926,0.006632089614868164
14,3,8.472609078735253,8.472609078735253,8.502629116001833,1.0,1.0035431868728517,1.0035431868728517,12.023827075958252,0.06751394271850586,0.005894184112548828
14,4,11.510072902368766,11.510072902368766,12.304404628257412,1.0,1.06901187617371,1.06901187617371,89.39727902412415,0.06768298149108887,0.006422996520996094
14,5,,8.103549316238507,10.601289911121285,,,1.3082279748551189,,0.07787609100341797,0.0074939727783203125
14,6,,13.559603851203873,17.391089865145364,,,1.2825662206644273,,0.07874608039855957,0.008156061172485352
14,7,,19.008200868312944,20.63235596410225,,,1.0854449669929995,,0.08080792427062988,0.008870124816894531
